Timestamp,Seleccioná la opción que mejor corresponda a cada herramienta [Python],Seleccioná la opción que mejor corresponda a cada herramienta [DeepLabCut],Seleccioná la opción que mejor corresponda a cada herramienta [Rmarkdown],Seleccioná la opción que mejor corresponda a cada herramienta [EzTrack],Seleccioná la opción que mejor corresponda a cada herramienta [Bonsai],Seleccioná la opción que mejor corresponda a cada herramienta [Arduino],Seleccioná la opción que mejor corresponda a cada herramienta [Gestor de bibliografía (Zotero)],Seleccioná la opción que mejor corresponda a cada herramienta [R],Seleccioná la opción que mejor corresponda a cada herramienta [Inkscape],Seleccioná la opción que mejor corresponda a cada tema [Videotracking],Seleccioná la opción que mejor corresponda a cada tema [Machine Learning],Seleccioná la opción que mejor corresponda a cada tema [Análisis y reporte de datos],Seleccioná la opción que mejor corresponda a cada tema [Sincronización de dispositivos de un setup (estación experimental)],Seleccioná la opción que mejor corresponda a cada tema [Internet de las cosas (IoT)],Seleccioná la opción que mejor corresponda a cada tema [Confección de material gráfico (pósters)],Seleccioná la opción que mejor corresponda a cada tema [Análisis de señales],Seleccioná la opción que mejor corresponda a cada tema [Robótica],¿Conocés alguna otra herramienta abierta o se te ocurre algún tema que no se encuentra en las listas anteriores? ¿La usaste o te gustaría asistir a un taller sobre ella?,"¿Te gustaría asistir a un taller ""hands-on"" remoto para el cual te brindemos un kit de material físico? Por ej: placas microcontroladoras Arduino, elementos de electrónica, sensores.","Si te gustaría realizar el taller ""hands-on"" remoto, ¿cuál de estos temas te interesaría?","Si te gustaría realizar el taller ""hands-on"" remoto, ¿te parece que podrías disponer de parte de los fondos para adquirir el kit?",¿Asististe a alguno de nuestros encuentros anteriores?,¿Querés hacer algún comentario acerca de los talleres que ya hemos brindado?,"¿Querés brindar un taller para estudiantes de neurociencias sobre alguna herramienta abierta copada en base a tu experiencia? Contanos brevemente y dejanos un contacto. Si conocés a alguien que le interese, por favor, ¡invitale a llenar este formulario!",Etapa de la carrera,Carrera de grado,En que provincia trabajás (por favor indicá ciudad y país si no es en Argentina),Programo...,Lenguajes de programación que utilizás frecuentemente,En tu grupo de trabajo se usa software open source,En tu grupo de trabajo se usa hardware open source,Encuentro que la falta de capacitación en hardware y software es un factor limitante para mi trabajo,Encuentro que la falta de financiamiento para hardware y software es un factor limitante para mi trabajo,Los materiales para reproducir mis investigaciones están en un repositorio público,
5/5/2021 10:24:15,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,,No,"No tengo interés en realizar un taller ""hands-on"" remoto","No tengo interés en realizar un taller práctico ""hands-on""",Los vi por YouTube,,,Estudiante de grado,Física,CABA,Más de una vez por semana,Python,Sí,No sé,4,1,Código + Documentación + Datos con ejemplos reproducibles,
5/5/2021 10:28:49,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E3: Placa controladora Arduino",,,Doctorando,Genética,CABA,Una vez al año,Python,Sí,No,5,4,No,
5/5/2021 10:29:01,"Lo uso/usé, Quiero asistir a un taller sobre esto",,,,,,,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",,No lo conozco,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos","Sí, hasta ARS$1000",Los vi por YouTube,,,Investigador/a,Física,Santa Fe,Más de una vez por semana,"Python, Matlab, R",Sí,Sí,4,5,Código + Documentación + Datos con ejemplos reproducibles,
5/5/2021 10:29:39,Lo uso/usé,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,Lo conozco pero nunca usé,Quiero asistir a un taller sobre esto,Lo conozco pero nunca usé,Quiero asistir a un taller sobre esto,Lo uso/usé,Quiero asistir a un taller sobre esto,,,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Me gustaria aprender a utilizar bases de datos de RNAseq,Participaria del taller de arduino pero ya tengo una placa.,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub",Muy buenos,,Doctorando,Biología,CABA,Una vez por semana,Python,Sí,No,4,5,No,
5/5/2021 10:30:05,Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo conozco pero no lo uso,Lo uso/usé,Lo conozco pero no lo uso,Lo conozco pero no lo uso,Lo uso/usé,Lo conozco pero no lo uso,Lo conozco pero no lo uso,,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$1000 y ARS$3000",No asistí,,,Post-doc,Química,CABA,Una vez al año,R,Sí,No,3,2,Código,
5/5/2021 10:31:40,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, hasta ARS$1000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, No asistí",,,Doctorando,Biología,Buenos Aires,Una vez al año,Python,Sí,Sí,5,5,No,
5/5/2021 10:46:46,Lo uso/usé,Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,Me parece que estaría buenísimo que den un taller sobre deeplabcut. Lo estuve chusmeando un poco pero nunca lo usé.,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub, C1E3: Placa controladora Arduino",,"Hace un año que estoy haciendo experimentos de neurociencia/psicología online usando una librería Open source que se llama jspsych (en JavaScript). Creo que el tema de los experimentos comportamentales online es muy relevante en estos días y lo seguirá siendo luego de que termine la pandemia. Quizá debido a que ya se enseñó Python, la opción más directa sea usar PsychoPy, pero en mi experiencia si bien (a veces) hay que escribir más código, la flexibilidad es mayor al usar HTML/CSS/JavaScript porque al fin y al cabo es lo que corre en el navegador (PsychoPy traduce de Python a JavaScript para funcionar en la web). Si les interesa puedo dar uno breve taller contando cómo comenzar a usar esta herramienta y como subir los experimentos gratuitamente. Saludos!",Doctorando,Biología,CABA,Más de una vez por semana,"Python, Matlab, Javascript",Sí,No,5,2,Código,
5/5/2021 10:52:07,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo uso/usé,No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,"No lo conozco, Quiero asistir a un taller sobre esto",No lo conozco,,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$1000 y ARS$3000",C1E1: Programación para análisis y visualización de datos en Python y Google Colab,,"uhmmm no soy científico, pero pienso que prometheus es una buena herramienta y puede servir mucho a la comunidad científica, por ej, para ver en tiempo real ciertas mediciones y métricas de sensores (con grafana). sería interesante.",Ingeniero de software,Secundario completo,"Barcelona, España",Más de una vez por semana,"Java, Javascript, PHP, Golang",Sí,No sé,1,1,No,
5/5/2021 10:54:52,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Quiero asistir a un taller sobre esto,Lo conozco pero no lo uso,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,"No lo conozco, Lo conozco pero no lo uso",,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, entre ARS$1000 y ARS$3000",No asistí,,,Doctorando,Biología,CABA,Nunca,Python,No sé,No sé,5,4,No,
5/5/2021 10:59:09,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,,"Lo uso/usé, Quiero asistir a un taller sobre esto",,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",Lo conozco pero no lo uso,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No se me ocurre,"Vivo en Bariloche, seguramente se dificultaria, pero si hacen listado de materiales puedo conseguirlos",Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$1000 y ARS$3000",Los vi por YouTube,,,Doctorando,Biología,Río Negro,Una vez al año,Python,Sí,Sí,5,3,No,
5/5/2021 11:06:48,Quiero asistir a un taller sobre esto,,,,,,,Quiero asistir a un taller sobre esto,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,,,,Quiero asistir a un taller sobre esto,,Spss ,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, hasta ARS$1000",No asistí,,,Doctorando,Psicología,Córdoba,Nunca,Ninguno,No,No,5,5,No,
5/5/2021 11:06:51,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Lo uso/usé,Lo conozco pero nunca usé,Lo conozco pero no lo uso,Lo conozco pero no lo uso,Lo conozco pero no lo uso,Lo conozco pero no lo uso,Lo conozco pero no lo uso,Lo uso/usé,Lo conozco pero no lo uso,Lo conozco pero no lo uso,,Sí,Automatización de una estación comportamental (sensores y actuadores),"Sí, entre ARS$3000 y ARS$5000",No asistí,,,Estudiante de grado,Cs de la Atmosfera (UBA), Diseño Industrial (ORT),CABA,Una vez por semana,"Python, Javascript",Sí,Sí,3,3,No
5/5/2021 11:07:22,Quiero asistir a un taller sobre esto,,,,,,,,,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,,,,,Quiero asistir a un taller sobre esto,,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, hasta ARS$1000",No asistí,,,Post-doc,Biología,Buenos Aires,Más de una vez por semana,"Python, Matlab, C",No,No,5,3,No,
5/5/2021 11:09:07,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero no lo uso,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos",No puedo disponer de fondos para un kit,No asistí,,,Estudiante de grado,Psicología,Buenos Aires,Una vez al año,Python,No sé,No sé,5,5,Código + Documentación + Datos con ejemplos reproducibles,
5/5/2021 11:21:23,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,No lo conozco,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",Lo uso/usé,,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,"Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto",programar C++,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, hasta ARS$1000",C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub,,,Doctorando,Biología,CABA,Una vez al año,R,Sí,No sé,3,2,No,
5/5/2021 11:21:42,"Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",Lo uso/usé,,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo uso/usé,Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero no lo uso, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto","No lo conozco, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,,Sí,"Adquisición de señales biológicas (ej: EMG, ECG) y su uso para generar estímulos, Automatización de una estación comportamental (sensores y actuadores)","Sí, hasta ARS$1000","C1E1: Programación para análisis y visualización de datos en Python y Google Colab, C1E2: Control de versionado y desarrollo colaborativo con Git en GitHub, C1E3: Placa controladora Arduino, C1E4: Fabricación digital: diseño CAD con FreeCAD e impresión 3D, Encuentros con BA Laboratorio Tecnológico",,,Doctorando,Biología,CABA,Más de una vez por semana,"Python, R",Sí,Sí,3,3,No,
